"Report_Period","Arrival_Departure","average_flight_ops_count"
"2018, July 01, Sunday 12:00:00 AM","Arrival","9659.6666666666666667"
"2017, December 01, Friday 12:00:00 AM","Arrival","8839.3333333333333333"
"2018, December 01, Saturday 12:00:00 AM","Arrival","8830.6666666666666667"
"2009, December 01, Tuesday 12:00:00 AM","Arrival","8809.6666666666666667"
"2023, August 01, Tuesday 12:00:00 AM","Arrival","7692.6666666666666667"
"2023, October 01, Sunday 12:00:00 AM","Arrival","7301.6666666666666667"
"2008, October 01, Wednesday 12:00:00 AM","Arrival","7276.3333333333333333"
"2018, August 01, Wednesday 12:00:00 AM","Arrival","7209.7500000000000000"
"2017, July 01, Saturday 12:00:00 AM","Arrival","7173.5000000000000000"
"2016, July 01, Friday 12:00:00 AM","Arrival","7126.0000000000000000"
